
=== f32 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
   9  17  153     476.6     571.1   0.83x     491.5     579.9   0.85x
   9  19  171     529.9     660.5   0.80x     547.3     670.6   0.82x
   9  23  207     705.2     862.0   0.82x     728.1     871.4   0.84x
   9  29  261    1070.7    1301.8   0.82x    1097.4    1319.4   0.83x
   9  31  279    1061.5    1271.3   0.83x    1094.3    1290.6   0.85x
   9  32  288     806.2     977.4   0.82x     840.3     993.3   0.85x
  11  13  143     412.7     497.0   0.83x     426.6     505.5   0.84x
  11  16  176     472.9     575.3   0.82x     492.5     579.5   0.85x
  11  17  187     599.7     708.6   0.85x     619.2     719.3   0.86x
  11  19  209     668.4     820.6   0.81x     689.8     831.2   0.83x
  11  23  253     883.2    1070.3   0.83x     905.3    1084.5   0.83x
  11  24  264     723.8     874.7   0.83x     751.4     885.5   0.85x
  11  27  297    1535.6    1718.1   0.89x    1567.3    1732.9   0.90x
  11  29  319    1336.7    1609.7   0.83x    1373.4    1628.9   0.84x
  11  31  341    1328.4    1576.1   0.84x    1361.2    1598.3   0.85x
  11  32  352    1017.8    1217.8   0.84x    1049.8    1235.3   0.85x
  13  16  208     580.1     699.6   0.83x     598.7     701.6   0.85x
  13  17  221     728.8     858.5   0.85x     746.3     866.0   0.86x
  13  19  247     809.8     990.7   0.82x     830.0    1003.7   0.83x
  13  23  299    1069.7    1290.6   0.83x    1098.0    1305.5   0.84x
  13  24  312     883.3    1062.9   0.83x     914.6    1076.7   0.85x
  13  27  351    1846.8    2058.3   0.90x    1871.2    2074.3   0.90x
  13  29  377    1613.2    1938.3   0.83x    1651.6    1958.6   0.84x
  13  31  403    1608.0    1899.7   0.85x    1651.0    1922.9   0.86x
  13  32  416    1242.7    1485.1   0.84x    1284.3    1507.9   0.85x
  16  17  272     850.5    1008.7   0.84x     872.6    1018.7   0.86x
  16  19  304     947.0    1169.6   0.81x     980.7    1183.1   0.83x
  16  23  368    1259.6    1528.1   0.82x    1295.9    1544.4   0.84x
  16  27  432    2206.6    2468.1   0.89x    2252.5    2495.7   0.90x
  16  29  464    1917.9    2317.9   0.83x    1965.6    2339.8   0.84x
  16  31  496    1906.7    2266.5   0.84x    1934.4    2298.4   0.84x
  17  19  323    1173.9    1406.6   0.83x    1202.1    1418.3   0.85x
  17  23  391    1540.4    1822.2   0.85x    1579.0    1836.6   0.86x
  17  24  408    1304.1    1536.9   0.85x    1347.0    1550.3   0.87x
  17  27  459    2579.4    2855.5   0.90x    2631.4    2868.6   0.92x
  17  29  493    2292.3    2710.9   0.85x    2342.7    2727.6   0.86x
  17  31  527    2299.8    2676.7   0.86x    2355.8    2695.4   0.87x
  17  32  544    1829.0    2128.9   0.86x    1884.2    2145.2   0.88x
  19  23  437    1788.1    2037.9   0.88x    1836.2    2055.1   0.89x
  19  24  456    1526.3    1713.9   0.89x    1580.4    1728.8   0.91x
  19  27  513    2963.0    3183.5   0.93x    3005.4    3197.2   0.94x
  19  29  551    2645.1    3023.3   0.87x    2687.6    3044.3   0.88x
  19  31  589    2654.9    2984.7   0.89x    2714.5    3007.4   0.90x
  19  32  608    2136.0    2376.9   0.90x    2203.1    2394.5   0.92x
  23  24  552    2027.8    2248.1   0.90x    2081.1    2261.7   0.92x
  23  27  621    3789.3    4046.7   0.94x    3861.4    4064.5   0.95x
  23  29  667    3415.9    3869.4   0.88x    3480.4    3890.4   0.89x
  23  31  713    3447.3    3837.3   0.90x    3502.6    3857.1   0.91x
  23  32  736    2825.1    3113.4   0.91x    2908.6    3131.0   0.93x
  24  29  696    2940.3    3524.1   0.83x    3012.4    3549.4   0.85x
  24  31  744    2926.8    3453.5   0.85x    3011.4    3486.5   0.86x
  27  29  783    5220.0    5866.7   0.89x    5289.0    5885.5   0.90x
  27  31  837    5329.9    5918.6   0.90x    5433.2    5937.5   0.92x
  27  32  864    4647.4    5110.5   0.91x    4745.8    5126.8   0.93x
  29  31  899    5104.0    5478.3   0.93x    5179.5    5505.1   0.94x
  29  32  928    4346.6    4580.2   0.95x    4451.4    4600.2   0.97x
  31  32  992    4231.4    4609.6   0.92x    4331.7    4623.7   0.94x

f64: GoodThomas wins 138/138 standalone (geomean 0.811x), 138/138 in context (geomean 0.825x)
(ratio below 1.00x means GoodThomasSmall is faster)
